"","score","text"
"81",-2,"th robocall fcking moron wasting campaign call someone whos votedfor"
"82",0,"antipcpatriot dcpcestablishmentpolitician hrc hillarious hillaryhatesamerica debatenight debateheadache"
"83",-1,"vividly defended idea lateterm partialbirth abort boldly took st"
"84",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"85",1,"top aid lamented muslim man white man san bernardino shooter email release wiki"
"86",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"87",-1,"riggedpolls okeefe riggedelection absolutely denials hrc engaged voter fraud violence"
"88",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"89",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"90",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"91",-1,"twright treat people disagree attn arizona"
"92",0,"aletheiaquester qatar finances isis send terrorsponsoring countries wikileak podest"
"93",0,"said question debate rig imanastywoman"
"94",0,"wikileak release email part"
"95",0,"strongertogether"
"96",0,"release email part wikileak"
"97",0,"watch live potus hitler campaign trail hillarious miami"
"98",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"99",0,"wikileak release email part"
"100",0,"grrrgraphics cartoon original ebay candidata kaine clown creepyclowncraze vp"
"101",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"102",-1,"teamtrumpco choo choo brakes even nastywoman stuck crossing woman millennial latinos basem"
"103",0,"daystotrump wrong hillaryclintona eyes woman say well end report"
"104",0,"watch live potus hitler campaign trail hillarious miami"
"105",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"106",-2,"foxnation debate check eight hillarious lie debunked debate lie debunked"
"107",0,"daystotrump wrong hillaryclintona eyes woman say well end report"
"108",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"109",0,"walid last night final debate confirm will push noflyzone syria mor"
"110",-1,"latimesopinion s fault"
"111",-1,"top think isnt go challenge shit win trialed blame poor russian guy"
"112",-1,"richdoll donnabrazile fraud answer forum say jud"
"113",0,"ripjournalism alsmithdinner believe clintonkaine spin st foreign meddling us"
"114",0,"wikileak release email part"
"115",-2," moderate fail expose hillaryclintona crimes debate federal payforplay law hrc broke ht"
"116",-1,"know nothin remember nothin lie everything know nothin washtimes"
"117",1,"wilkowmajority democrat hillaryclintona brother control gold mine"
"118",0,"wikileak release email part"
"119",-1,"vividly defended idea lateterm partialbirth abort boldly took st"
"120",0,"wikileak release email part"
"121",0,"wikileak release email part"
"122",-1,"bottombitch lose adjusting fo fraud still make gap look like saved"
"123",0,"incognito release email part"
"124",-1,"foxnation shock video watchdog group aims keep hillarious campaign account video"
"125",0,"im new york help campaign theyve laid pad"
"126",0,"wikileak release email part"
"127",-1,"potus attracts flys dumping poop street foulsmelling toilet paper"
"128",0,"foxnation meet general whos pay hillarious clintonbodycount since general"
"129",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"130",0,"wikileak release email part"
"131",0,"think stuff got laugh today mean deathrow tho"
"132",1,"jamieleecurtis believe say stronger together strongertogether commandherinchief"
"133",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"134",0,"lisaglantz hillarious"
"135",0,"alqaedaisisalnusra varios nombresun mismo bandola misma mierda y una misma jefa"
"136",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"137",0,"release email part allsthefish"
"138",0,"daystotrump wrong hillaryclintona eyes woman say well end report"
"139",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"140",-4,"weird lie fbi getinthesea away mangano lie charge obstructing gop"
"141",1,"stirringtrouble way ever believe poll poll registered support"
"142",0,"unnuevodia cuál de los candidatos piensas que ganó est debate o"
"143",-1,"wikileak panne satellite impose ses règles de débat sputnikfr"
"144",0,"watch live potus hitler campaign trail hillarious miami"
"145",0,"wikileak release email part"
"146",0,"beepbeepdeet someone challenge elect resultsbush v gore lol tcot"
"147",0,"may change vote deathrowrecords pac tupac"
"148",1,"jamieleecurtis believe say stronger together strongertogether commandherinchief"
"149",0,"potus barackobama stomps miamigardens telemundo anacuervot decision yodecido"
"150",0,"hillaryclintona connect chicago mob father ran capone"
"151",0,"telemundo vicentefdez anoche viví una noche muy emotiva en mi encuentro con expresó el cantante mexicano"
"152",0,"realscotternst hillaryclintona role model young women lenadunham sarahsilverman mileycyrus"
"153",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"154",0,"entérate madonna ofrece su apoyo"
"155",0,"walid last night final debate confirm will push noflyzone syria mor"
"156",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"157",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"158",-3,"mocked taunting debate turn tormentor baiting imbecile infantile"
"159",-1,"vividly defended idea lateterm partialbirth abort boldly took st"
"160",2,"go low stay high thank little nug wisdom"
"161",0,"daystotrump wrong hillaryclintona eyes woman say well end report"
"162",1,"stephenlendman hillaryclintona catastrophic agenda november fast approaching hillarious look certain succeed htt"
"163",0,"daystotrump wrong hillaryclintona eyes woman say well end report"
"164",-2,"foxnation debate check eight hillarious lie debunked debate lie debunked"
"165",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"166",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"167",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"168",0,"politweecs wasnt answer question read prepared answer"
"169",0,"watch live potus hitler campaign trail hillarious miami"
"170",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"171",0,"strongertogether"
"172",0,"wikileak release email part"
"173",0,"robertcaruso michaelcrowley politico billclinton lectures russia k clintonfoundation"
"174",0,"watch live potus hitler campaign trail hillarious miami"
"175",-1,"can send general prison one lie allow hillarious presidencial zero integral zero competence"
"176",-1,"treat people disagree attn newhampshire arizona"
"177",0,"marypatriotnews islam strongertogether tmz mtv bet snl dailyshow youtube google"
"178",0,"stillkhaleesi parenthood come sunday lunch need act civil"
"179",-1,"zeroanthro dnc rig primaries media accomplices admissions vote fraud thuglife hire mention th"
"180",-1,"trumpmypres fact checkwhen lips move lie christichat"
"181",-2,"watch presidentobama speak rallies harshly rebuking way insult"
"182",-1,"reillypt foxdpt wish new house families vacation drain might see want pay"
"183",0,"women accusa legit serious question donaldtrumphillaryclintondebatesdebates"
"184",0,"wikileak release email part"
"185",0,"release email part panoramah"
"186",0,"release email part bernpress"
"187",0,"wikileak release email part"
"188",-2,"foxnation debate check eight hillarious lie debunked debate lie debunked"
"189",-1,"ofccadjust breaking proof huma abedin muslim brotherhood operative spiel mubarak overthrown mb took el"
"190",0,"foxnation meet general whos pay hillarious clintonbodycount since general"
"191",0,"public servant public servant govern relate email public "
"192",0,"ill involved quote"
"193",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"194",0,"walid last night final debate confirm will push noflyzone syria mor"
"195",0,"cernovich anyone kept record manipo day seen campaign vs"
"196",0,"true falsches new equality law men can begin req diamond ring marriage ft"
"197",-1,"daystotrump leak classified information nuclear response time last night debatenight"
"198",0,"politweecs point az poll interview nearly twice manipo democrat republican"
"199",0,"crookedclinton"
"200",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"201",0,"gits idea become presidencial"
"202",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"203",0,"wikileak release email part"
"204",0,"watch live potus hitler campaign trail hillarious miami"
"205",0,"watch live potus hitler campaign trail hillarious miami"
"206",0,"daystotrump wrong hillaryclintona eyes woman say well end report"
"207",0,"daystotrump wrong hillaryclintona eyes woman say well end report"
"208",0,"watch live potus hitler campaign trail hillarious miami"
"209",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"210",0,"watch live potus hitler campaign trail hillarious miami"
"211",0,"watch live potus hitler campaign trail hillarious miami"
"212",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"213",0,"strongertogether debatenight"
"214",-1,"huge lie told debate"
"215",0,"carmendevito corporate people vote blue dem fight us iamwithher estoyconella"
"216",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"217",0,"wikileak release email part"
"218",0,"ourfuturedependson make sure put jail elect presidencial"
"219",0,"potus periscope now miami campaign"
"220",0,"watch live potus hitler campaign trail hillarious miami"
"221",0,"deathrow"
"222",0,"watch live potus hitler campaign trail hillarious miami"
"223",0,"watch live potus hitler campaign trail hillarious miami"
"224",0,"wikileak release email part"
"225",0,"horaciocalderon siria denosta basharassad que defiende los cristianos pero ayudó crecer al isis y alqaeda"
"226",-1,"wellsfargo employees said immigrants older adults student native american targeted fake account cfpb"
"227",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"228",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"229",0,"islam strongertogether tmz mtv bet snl dailyshow youtube google"
"230",0,"top scandal expose wikileak trumppence patriot revolt hillarybecause "
"231",0,"wikileak release email part"
"232",0,"grrrgraphics openborders thewall got feet higher viral hoodie tshirt"
"233",0,"kolex fbi congress senate judicialwatch foia debatenight ap policedepartment arrest debate voterrights sh"
"234",0,"wrong hillaryclintona eyes woman say well end"
"235",0," someone challenge elect resultsbush v gore lol tcot"
"236",0,"wikileak release email part"
"237",0,"vickybrush gave away another usa secret debate time world pls vote hillar"
"238",0,"vote"
"239",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"240",0,"please markcuban o hyperventilates defended cavuto"
"241",-2,"racist racism tellthetruth bigleagueloser trumptrain debate debate"
"242",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"243",0,"madonna usa"
"244",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"245",0,"politweecs avoid answer debate question clintonfoundation paytoplay"
"246",-1,"came saw die words true democrat lybia warcriminal"
"247",1,"chatrevolve look say little mr right"
"248",0,"seem like everyone campaign except hillarious serious hell elect"
"249",-1,"robyns vote criminal serious ruining integral highest office"
"250",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"251",0,"clintonfoundation"
"252",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"253",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"254",0,"elect need greatlakespresident cause greatlakesmatter dumptrump mi il oh ny wi"
"255",0,"jail campaign trail usmc"
"256",0,"wikileak release email part"
"257",0,"deathrow vote presidentialdebate presidential presidencial"
"258",2,"washingtonpost win won big time fence will vote hillarious now"
"259",0,"pres ya j janetjackson janfam thejacksons jacksonfam"
"260",0,"realscotternst hillaryclintona role model young women lenadunham sarahsilverman mileycyrus"
"261",0,"wikileak release email part"
"262",-1," full house miami stumping voter say still undecided student"
"263",0,"watch live potus hitler campaign trail hillarious miami"
"264",0,"wikileak release email part"
"265",0,"wikileak release email part"
"266",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"267",0,"lucidhurricane us code us code disqualified hold public office us trumptapes podes"
"268",0,"grrrgraphics openborders thewall got feet higher viral hoodie tshirt"
"269",-1,"treat people disagree"
"270",0,"lucidhurricane us code us code disqualified hold public office us trumptapes podes"
"271",0,"awoke today think hillarious create jobsworking keep office"
"272",0,"wikileak release email part"
"273",0,"grrrgraphics openborders thewall got feet higher viral hoodie tshirt"
"274",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"275",0,"wikileak release email part"
"276",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"277",0,"godfaithinyou release email part scapmichell"
"278",0,"watch live potus hitler campaign trail hillarious miami"
"279",0,"vooda ditto co earlier mailin ballot dropouthillary clerk poll station progdemlib"
"280",1,"pollhq trust debate"
"281",-1," women shit done nastywomenvote imwither"
"282",0,"hell barackobama oh georgeclooneys handler will happier w wife"
"283",0,"conoce la vida de y semanas de las elecciones hoy en thechoice por ondirectv"
"284",0,"endochank thehill yeah sure libtard hillaryclintona upporter payed stephencolbert one funniest cocksucker asshole"
"285",0,"la reacción de los medios ante el último debate presidencial followme"
"286",1,"realscotternst dem enlisted mileycyrus millennial women vote bc mc great role model cl"
"287",-1,"trumpmypres factcheck agree incompetent hot mess"
"288",-1,"axis evil diddleysquatt"
"289",0,"grrrgraphics openborders thewall got feet higher viral hoodie tshirt"
"290",-1,"gigioncall womenshealth babies abort second state found plannedparenthood site"
"291",0,"worldmusicaward rihanna wear tshirt third final presidential debate rihanna ht"
"292",0,"busted debatenight"
"293",0,"wikileak release email part"
"294",0,"trumpmypres christichat pjstrikeforce vickybrush missie mjgr"
"295",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"296",-2,"realdjtrumpteam agree direct relationship tweet mind health compulsive lie diso"
"297",0,"debunked claim one can argue vote jill stein debate bernieorbust jillstein"
"298",0,"lo reiteropareciera que vicentefdez desconoce la historia de méxico la misma alerta para méxico"
"299",-3,"long crook campaignt plants fake document trialed discredit k real one wikileak"
"300",1,"realscotternst dem enlisted mileycyrus millennial women vote bc mc great role model cl"
"301",0,"grindingdude resume state previous yrs look exact debatenight"
"302",2,"im good madonna promise sexual favours exchange vote hillarious"
"303",0,"wikileak release email part"
"304",1,"take five swipes metrocard ride ny subway yep like one us t"
"305",0,"grrrgraphics openborders thewall got feet higher viral hoodie tshirt"
"306",0,"wilkowmajority current state healthcare venezuela system want"
"307",0,"debate strongertogether pennsylvania california next f"
"308",-1,"gigioncall womenshealth babies abort second state found plannedparenthood site"
"309",0,"gop congressman elect electionnews"
"310",0,"grrrgraphics openborders thewall got feet higher viral hoodie tshirt"
"311",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"312",0,"gop congressman elect electionnews"
"313",1,"us tax dollars work hillarious campaign stongertogether getthevote"
"314",0,"itssmemel deathrow debate vote"
"315",1,"support like scratch asshole day cause gave mind therealdonaldtrump still poo"
"316",-2,"can say spent lifetime fight kids believe abort mos schools disaster"
"317",0,"can children know right wrong future presidencial doesnt"
"318",1,"biologistdan price meet m given clintonfoundation wonder cant meet discuss whal"
"319",0,"wikileak release email part"
"320",0,"grrrgraphics openborders thewall got feet higher viral hoodie tshirt"
"321",0,"wikileak release email part"
"322",0,"release email part trumpfan"
"323",0,"wikileak release email part"
"324",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"325",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"326",0,"release email part captainpbracc"
"327",0,"trumpbookreport hillyes hillaryforpresident hillarybecause gtgt"
"328",1,"chatrevolve look say little mr right"
"329",-2,"realdjtrumpteam agree direct relationship tweet mind health compulsive lie diso"
"330",0,"rihanna steph epic shirt rihanna"
"331",0,"actual quote seem legit clintonscandals hillaryforprison "
"332",-2,"inesiukas one loser debate loser american people wedeservebetter"
"333",0,"wikileak release email part"
"334",-1,"trumpmissouri now make fun women bodies dont fooled ppl crook everything said public l"
"335",-1,"wakeupamerica im concern action action may say debatenight"
"336",0,"factcheck"
"337",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"338",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"339",0,"wikileak release email part"
"340",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"341",0,"oakhill crowd cheering hillaryclintona call raise tax middle class usefulidiots lowinforma"
"342",-1,"trumpmypres fact checkwhen lips move lie christichat"
"343",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"344",0,"wikileak release email part"
"345",1,"wilkowmajority democrat hillaryclintona brother control gold mine"
"346",0,"openborders thewall got feet higher viral hoodie tshirt"
"347",0,"watch live potus hitler campaign trail hillarious miami"
"348",0,"annkirkpatrick hillarious rallies phoenixconvctr michelleobama flotus"
"349",0," will vote november th elect debate debate decision garyjohns"
"350",0,"read hillarious donald numerology thursdaythoughts debatenight"
"351",-1,"ciccmaher offended foreign interference us elect"
"352",-1,"luannesorrell halloween display go far show decapitated head dripping blood fox georgi"
"353",0," democrat republican debate michelleobama berniesanders"
"354",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"355",1,"like uh yeah yeah secured agencies said debatenight"
"356",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"357",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"358",3,"dvatw poll point win bit like poll point remain win euref"
"359",-1,"according late term abort make great sick"
"360",0,"oann thank report projectveritas wikileak democraticcorruption unbelievable"
"361",0,"wikileak release email part"
"362",0,"release email part denisovazz"
"363",-1,"ma danney williams billclinton illegitimate son uselection"
"364",-1,"lizactivate stoptpp tpps removing tariffs drive wages kill product job market"
"365",0,"watch live potus hitler campaign trail hillarious miami"
"366",0,"wikileak release email part"
"367",-2,"ibdeditorials debate hard time explain away foundation scandal see"
"368",0,"worldmusicaward rihanna wear tshirt third final presidential debate rihanna ht"
"369",0,"wikileak release email part"
"370",0,"lol made go buy tshirt now debatenight debate trumppence"
"371",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"372",0,"arnews release email part vi"
"373",0,"jamescomeyfbi laugh along big mouth read tweet"
"374",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"375",0,"wikileak release email part"
"376",0,"grrrgraphics cartoon original ebay candidata kaine clown creepyclowncraze vp"
"377",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"378",0,"lucidhurricane us code us code disqualified hold public office us trumptapes podes"
"379",-1,"halloween display go far show decapitated head dripping blood fox"
"380",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"381",0,"grrrgraphics cartoon original ebay candidata kaine clown creepyclowncraze vp"
"382",0,"thehill yeah sure libtard hillaryclintona upporter payed stephencolbert one funniest cocksucker"
"383",0,"mikemtk billionaire backer want new tax funnels middle class money wallstreet vi"
"384",-1,"vividly defended idea lateterm partialbirth abort boldly took st"
"385",-1,"normal event scream first time someone independent sense o"
"386",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"387",0,"wikileak release email part"
"388",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"389",-1,"call puppet putin ooooh said noyoure puppet ooooh welcome politi"
"390",0,"mhurley trumppence wikileak votingtrump draintheswamp millennial "
"391",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"392",0,"mosalahshoor electionhumor elect smshow frangeladuo"
"393",3,"thank commit help women right kosovo gratitude albania"
"394",0,"NA"
"395",0,"omg whoever deserve raise debate"
"396",0,"new darkpolitricks repackages hr syrian plan clintonrepackages news"
"397",0,"pls read gt repackages hr syrian plan clintonrepackages islamicstate"
"398",-1,"twright treat people disagree"
"399",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"400",0,"new article darkpolitricks repackages syrian plan clintonrepackages"
"401",-1,"hillarypix hillaryclintona debate perform left campaign ruining"
"402",0,"soon halloween halloweencostume elect"
"403",-3,"yepwe will ater raped murder said impossible vet refugees give th"
"404",0,"wikileak release email part"
"405",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"406",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"407",0,"wikileak release email part"
"408",0,"politweecs wasnt answer question read prepared answer"
"409",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"410",0,"whos run nation susanrice admits got high marijuana lsd pcp etc usa"
"411",0,"wikileak release email part"
"412",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"413",0,"wikileak release email part"
"414",-1,"mgiglio tulsigabbard russia invades didnt answer question yemen saudi kill thousands"
"415",0,"watch live potus hitler campaign trail hillarious miami"
"416",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"417",0,"politweecs avoid answer debate question clintonfoundation paytoplay"
"418",2,"bennydiego hillarious calm poised knowledge presidential exploded debatenight"
"419",0,"watch live potus hitler campaign trail hillarious miami"
"420",0,"wikileak release email part"
"421",0,"release email part trumpfan"
"422",-1,"foxnation shock video watchdog group aims keep hillarious campaign account video"
"423",-2,"realdjtrumpteam agree direct relationship tweet mind health compulsive lie diso"
"424",0,"wikileak release email part"
"425",-1,"evidence oh cronies involved chicago rallies riot disgusting"
"426",-3,"klsouth fbi report show lie destroy evidence subpoena debatenight dem debate"
"427",0,"thursdaythoughts insidejob"
"428",0,"esmasfarandula video agradece con un abrazo apoyo de vicentefdez"
"429",0,"wikileak release email part"
"430",0,"watch live potus hitler campaign trail hillarious miami"
"431",0," woman become feminist rallies crimes wait vox"
"432",0,"watch live potus hitler campaign trail hillarious miami"
"433",-1,"hillarypix hillaryclintona debate perform left campaign ruining"
"434",0,"marieclairefr après le débat des présidentielles américaines cette nuit la phrase du jour revient à"
"435",0,"rig elect msnbc nbcnews news riggeddebate"
"436",0,"will state dept anythi now seanhannity wikileak debatenight womenfortrumptour"
"437",0,"brookebcnn think watch day new fan elect elect"
"438",0,"et donc pour lensemble de nos merdias cette femme est moins dangereuse que donald"
"439",-2,"check moron stopnuclearwar doesnt even know precious criminal create massincarceration u ignorance simple"
"440",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"441",0,"fruitetrange whitehouse threatens war russia score politi point washingtontimes"
"442",0,"wikileak release email part"
"443",0,"watch live potus hitler campaign trail hillarious miami"
"444",0,"politweecs point az poll interview nearly twice manipo democrat republican"
"445",-2,"ciccmaher v concern abt foreign intervention elect email reveal direct us sabotage venezuela"
"446",0,"wikileak release email part"
"447",-1,"pathetic nosoul"
"448",0,"wikileak release email part"
"449",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"450",-1," remember peoplethe corrupt method employees elect will method"
"451",0,"truepundit remember laugh shes smile lie"
"452",0,"watch live potus hitler campaign trail hillarious miami"
"453",0,"worldmusicaward rihanna wear tshirt third final presidential debate rihanna ht"
"454",1,"chatrevolve look say little mr right"
"455",0,"marneusacalgar les mail dhillaryclinton nont pas été hackés par la russia mail par la nsa la nsa ne veut pas qui ca"
"456",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"457",0,"release email part smanoel"
"458",0,"ricksmith spoiler alert im go ask wordsfromwags question tomorrows realtruthrq"
"459",0,"youtube will promise voter intimidation never happen usa"
"460",0,"see hide cover people nov weareone votemaga trumptrain "
"461",0,"wikileak release email part"
"462",0,"lolshe madonna blew half hollywoodalreadyshe offer oral sex exchange vote oralsex"
"463",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"464",0,"gunlovin fbi unpleasant secured agents didnt want protect"
"465",1,"old friend sarahpalin tweet love"
"466",0,"superherosteel debatenight go elect"
"467",0,"onlinemagazin usa way third final tv debate lasvegas donald med"
"468",0,"incognito release email part"
"469",0,"chatelaineqc pourquoi cette hésitation à élire une femme à lire le texte de pascalenavarro"
"470",0,"ricksmith spoiler alert im go ask wordsfromwags question tomorrows realtruthrq"
"471",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"472",0,"video reveal clintonbodycount role inciting violence rallies clintoncampaign democrat"
