"score","text"
-2,"banwahhabism islam problem vile ideology wahhabism salafism know jack s"
0,"banwahhabism donaldtrumpdriven campaign manage say plan defeat islam just show stupid people"
0,"didnt also say keepamericagreat plan send da clowns along head cl"
0,"funnier true critique american elect hilaryvstrump rustyrockets"
0,"weve seen name silvioberlusconi"
0,"wtfnewsamerica im embarrassed live even considered potus nevertrump strongertog"
0,"hycieeeee amazon ceo jeff bezos say donaldtrumpdriven behaviour eroding democracia"
1,"a law let make clear world want presiden retweet"
1,"rafu event nuclearwar usa russia win plz vote poll"
0,"fox news seanhannity lashes saboteur paulryan back"
0,"make term trumpaboard slang thing weve said people evidence weve said"
1,"seem like potus rather"
-1,"trade insult gala dinner world"
0,"grab pussies tinyhands dumptrump trevornoah sphae"
-3,"person wrong person wrong person wrong"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
2,"support hate past work lawyer defended child abuser still support"
0,"allrepublicans watch live rallies newtown pa pm et michigan virginia nj ohio nevada arizona ht"
0,"approvo e sottoscrivo la seguente quote non esiste nazione senza confini donaldtrumpforpresident maga"
0,"share laugh dinner newyork"
0,"backtothefutureday still dont hover board run presidentquick get"
0,"clevelandnewday must know nevertrump stoptrump polit please"
0,"amazon ceo jeff bezos say donaldtrumpdriven behaviour eroding democracia"
0," horse vladimirputin ride"
0,"rafshmatko heart maga usa trumptrain art world artfortrump"
0,"clevelandpost must know nevertrump stoptrump polit please"
0,"wtam go fundraiser new york detailed photo"
0,"clevelandnewday must know nevertrump stoptrump polit please"
0,"wtam go fundraiser new york detailed photo"
0,"marcorubio notgoodforamerica"
0,"go fundraiser new york detailed"
-1,"serious fiddles nation burn"
0,"ranamomand gulmarjan"
-1,"movietvtechgeek true false claim rd debate movietvtechgeek"
-2,"cubswin notgoodforamerica liar conman dontbemadbro funnier shit"
-1,"zestyleftwing hombre special mexican restaurantes hilarious mock donaldtrumpdriven racism"
0,""
0,"ofniw lamérique doute bien tendu par le débat dhier tire sa dernière cartouche le clip de campagne je texpu"
0,"alexcam note georgebush left billclinton goes viral d"
0,"us call un observers monitor elect given doubt uncertainties fair raised"
0,"skrillex presiden rocktipus gsbizzle want keep white orange"
0,"said weve seen name silvio berlusconi"
0,"gsbizzle want keep white orange"
1,"break accurate preidential poll show lead mediasources"
0,"worldnewsj eminem release song donaldtrumplyrics full video trumpk uselection uselection"
0,"vicbergeriv askd three time hour briefing"
0,"otherpowder pray doesnt even bow head trumppence trumppence maga"
-1,"africanamerica hmmm ever wonder sooo slow denounce kkk ever think maybejust maybe h"
1,"harryslaststand usa owes debt gratitude philippines show usa like prez"
1,"let fill twitterfacebook positive donaldchump theonlydonald live"
-1,"fionli donaldtrumpdriven rants china power ten year date business endacurran"
0,"rodlurie may first person hitler boo room full priests alsmithdinner"
-1,"accusations dnc chair donnabrazile give question"
1,"event nuclearwar usa russia win plz vote poll"
-1,"fionli donaldtrumpdriven rants china power ten year date business endacurran"
0,"didnt face single debate question climate change"
0,"stand front mirror thats"
0,"doubt go laugh quit bit tonight sometimes even appropriate moment"
0,"ctcantabria qrznow hamradio opináis"
-3,"time accusations rape attempted rape via fusion"
-1,"diaryofapoet devonanderson sound like blame else take response almost die u nothing"
-2,"pittgriffin much anger hurt kid just turn dinner screed "
-1,"zestytrump johnmccain tell move lose debate american way"
0,"eminem release song donaldtrumplyrics full video trumpk uselection uselection"
-2,"share image jeb bush sad lonely birthday"
1,"uploaded new episode whos go win spreaker elect hilaryclinton winlose"
0,"allrepublicans cspan air live johnstown pa rallies pm et philadelphia ohio michigan florida nj"
0,"evagolinger separados al nacer racistas misóginos groseros ramosallup venezuela eeuu"
0,"rafshmatko heart maga usa trumptrain art world artfortrump"
-1,"fezreports analysts donaldtrumpdriven reluctance accept vote result unprecedented voanews"
1,"event nuclearwar usa russia win plz vote poll"
0,"germans leave droves hungarianleader"
1," facebook silence peterthiels support siliconvalley misogynist"
0,"allrepublicans watch live rallies newtown pa pm et michigan virginia nj ohio nevada arizona ht"
0,"eminem new song campaign speech call friday"
0,"donpringao quién es soy yo viendo buscar ti ya es tarde hilaryclinton felizlunes diamundialsaludm"
-1,"davidj impression man set example university bore name uniworldnews"
1,"mikememphis cnn support please cast ballot elect "
0,"nytvideo yes need preparation h deal hemorrhoid special"
0,"mad dream last night feat anyone know answer"
-1,"michaelvdgalien wow internal poll according stevedeaceshow lose georgia arizona thats pathetic"
1,"andreajmarkley time act like dick isnt enough badhombre"
0,"updated debate statement elect news cnn vine cnnpolitics"
-2,"q saspint bigspringdoc view get overweight stupid hamburgers"
0,""
-1,"horsemen apocalypse prophesied rev trojan d via youtube"
-1,"horsemen apocalypse prophesied rev trojan d via youtube"
1,"mstanik look like list book mormon big time explanation markzbarabak"
1,"theshaderoom pressplay better read melania serious via cnn"
-1,"movietvtechgeek true false claim rd debate movietvtechgeek"
0,"cfrorg heres proposals us immigrant ht"
-1,"serpentine just vile boo room priests p news polit catholic"
0,"mccarthyknew maga projectveritas imwithher yesallgirls blacklivesmatter economic georgeclooney"
0,"eminem beszólt trumpnak és híveinek eminem usa választás kozhir által"
1,"a law let make clear world want presiden retweet"
1,"truth apparently selenascott considered go public revelations selena well"
0,"lose gone like"
1,"a law let make clear world want presiden retweet"
-1,"enca opinion us final debate fail bend steel"
-1,"joker awebbiz mrchemicalkhan"
-2,"question refusal answer done damage us image champions democracia harrykthomasjr debate"
-4,"meanwhile uk repulsive gutter scum rupertmurdoch continue peddling shit gave us"
-1,"jkonoevent hate whole world maga debate vote imwithher poll"
1,"aportel askd pinocchio won debate pinnochio replied nose grew longer course"
0,"a law evidence since beginning rallies debate poll total landslide debate"
0,"sgohill drkumarvishwas sahil ka"
0,"full al smith dinner alsmith"
0,"elect imwithher"
0,"dig deeper hole"
0,"fraynelson es triste sea lo mejor pudo producir el sistema politico norteamericano para enfrentar una abortista"
-1,"opinion us final debate fail bend steel"
1,"apparently selenascott considered go public revelations selena well"
0,"fraynelson es triste sea lo mejor pudo producir el sistema politico norteamericano para enfrentar una abortista"
-3,"talk shit like hes go shit lose know aint shit"
1,"a law let make clear world want presiden retweet"
0,"badhombre v debate"
0,"rafshmatko nshmatkoi made portrait background flag wrote bottom"
1,"a law let make clear world want presiden retweet"
-2,"presiden obama call trumpaboard elect rhetoric danger barackobama"
0,"maga projectveritas imwithher yesallgirls blacklivesmatter economic georgeclooney"
-1,"wow internal poll according stevedeaceshow lose georgia arizona thats pathetic"
0,"nnc eminem release song lyrics full"
-1,"accesshollywood cher absolute lose elect presiden"
-1,"perezhilton say hell total accept elect result win watch delusional speech"
0,"allhiphopcom john legend talk speak elect"
0,"said imagebot"
-1,"perezhilton chelseahandler rip highlarious day life take"
0,"linkedin page let send power message elect day"
-1,"pakistani women world get boo trade joke"
0,"year ago predicted iran take iraq iran iraq us quote"
-1,"pakistani food world get boo trade joke recipe"
-1,"entheosshines red alert cc secretservice gt waves assassination threat debate leftwingers htt"
-1,"zestytrump keep fall vladimirputin praise propaganda final"
-2,"th woman accusations inappropriate touched say fondled breast"
-1,"analysts donaldtrumpdriven reluctance accept vote result unprecedented voanews"
0,"evagolinger separados al nacer racistas misóginos groseros ramosallup venezuela eeuu"
0,"doubt go laugh quit bit tonight sometimes even appropriate moment"
-2,"re us elect barackobama call donaldtrumpdriven elect rhetoric danger"
1,"dcexaminer youd think embarrassed enough dress realize shes public"
1,"voiceofjathugs ill accept elect result win worldbuzz"
1,"wtf nickelodeontv yall support stop bullshit actually promise"
-1,"accesshollywood sharktanks mark cuban total rip apart"
1,"ill accept elect result win worldbuzz"
-1,"peterdaou new video star little rascals women"
0,"usa incontro scontro cena di beneficenza fra e"
-1,"movietvtechgeek true false claim rd debate movietvtechgeek"
0,"namo us"
0,"laughter boo appear al smith event"
1,"latest twitmesh thank panarmenianeng elect"
-1,"worstfact joke"
-1,"bv refusal accept electionfraud big difference maga trumppence"
0,"zormanvideos siempre saca vídeos geniales pero est está entre lo mejor"
0,"washtimes hit nerve jests alsmithdinner"
-1,"zestytrump keep fall vladimirputin praise propaganda final"
3,"heard seen enough dissemination may hear positive thing support elect"
0,"people historic newsweekeurope"
2,"nymag thats stretch best think nastywoman comparable nastyman sexism just fact honest"
-1,"baseball latest comment look reading lose competition happen big margin"
0,"people historic newsweekeurope"
0,"shirishkunder"
-1,"drawing boo catholic dinner stupid embarrassed"
-2,"soniakatimota female rabbis condemn hate speech voteblue via jdforward"
0,"onecopaceticcat watch alsmith dinnerhillz engaged laugh melania stoi"
0,"nigelfarage dismissed donaldtrumpdriven antiimmigration rhetoric say win us"
0,"didnt make make laugh elect imwither"
0,"hillaryvsdonald"
0,"keep american democracia suspense michelleobama"
-1,"must see standup genius burn alive alfredsmithdinner brutal"
-1,"tenth woman accusations sexual misconduct via rumournews"
-2,"theeconomist win landslide matter hard corrupt press media put false information"
-2,"tension seeps joke annual dinner via rumournews"
-2,"zestytrump newer theories lost debate billclinton cheated"
-1,"keep fall vladimirputin praise propaganda final"
0,"trumpaboard secret steak recipe thedonald steak"
-1,"s woman comment worst thing women want treated equal accept "
1,"jaimetennille receives ellis island medal honor natl ethnic coalition organizations w rosa parks ali"
2,"trumpapproved please make support proud alsmithdinner"
-1,"jhasanjay almost certain face total rout another disastrous debate india usa leve"
-3,"politicomag mean presidentobama rhetoric insult putin people russia irresponsible"
0,"veamos con arantxaloizaga en votolatino encuesta más completa en uninoticias hilaryclinton y"
0,"washtimes hit nerve jests alsmithdinner"
0,"arcturusrex system rig betcha via patbuchanan vs soros smartmat"
0,"lucabambu cè già stato uno come il suo nome è silvioberlusconi"
0,"arcturusrex system rig betcha via patbuchanan vs soros smartmat"
-2,"newssentiment today bearish usdmxn ascending triangles move downside just"
0,"trumpaboard secret steak recipe thedonald steak"
-1,"boo call corrupt gala dinner via telegraphnews uselection"
0,"fooraol cnn whitehouse"
1,"theartofprotest please dont vote numbskull isnt brightest button box h"
0,"mrhammam presidentialdebatee"
0,"il president barackobama definisce come pericoloso elect trumpvsclinton"
0,"dailycaller week elect american voter never agree ultimate authority maga"
-1,"true werent just joke alsmithdinner wikileaks"
-1,"apprentice accusations friend told gloriaallred summerzervos tmz"
0,"auf benefizgala ausgebuht und schon wieder hat der mann sich beliebt gemacht"
-1,"peterdaou new video star little rascals women"
0,"arcturusrex system rig betcha via patbuchanan vs soros smartmat"
0,"presidentialelection"
0,"notifyrinc trade jabbing zingers stinkers catholic dinn elect"
-1,"serpentine just vile boo room priests p news polit catholic"
0,"anyone ounce smartmat read room cut speech short sit"
-2,"boo call corrupt bipartisan dinner turn sour"
-1,"thecristaldomme danger nuclear arms summit session pm"
-1,"cnn seem criticism selective partisan voter accept electionfraud maga trumppence"
1,"accept result presidential elect win"
2,"joke star wikileaks jillstein clean clear breath fresh air "
0,"truth earthisflat"
0,"washtimes hit nerve jests alsmithdinner"
-3,"trumpsguccigirl dont confuse bravado tragic read room blindfaith"
-1,"vote ccc career criminal"
-4,"say youre least racist person youre probably racist youre oblivious racism"
-2,"nymag algore georgewbush wrong agree accept ussc decision mistake happen twice maga"
-1,"frankfort ky democratic worried donaldtrumpdriven appeal appalachia topple major"
-1,"serpentine just vile boo room priests p news polit catholic"
-1,"danger nuclear arms summit session pm"
0,"doubt go laugh quit bit tonight sometimes even appropriate moment"
1,"event nuclearwar usa russia win plz vote poll"
0,"us legal chief dismissed ballot claim world elect"
0,"get boo alsmith dinner jabbing face nwo tell people think"
0,"eminem release song lyrics full"
-2,"lgbtqnation tuned miss shock debate highlight call woman wha"
0,"look pathetic debate end didnt even make good use close statementfool presidentpussygrabber"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
0,"goes now actually call preparation cnn"
1," facebook silence peter thiels support"
0,"csmonitor american voter agree maga trumppence"
1,"entertaining speech last night day last potus debate new york raised money"
1,"vetsfordonald say thank maga rasmussen nation poll "
-2,"endless drama feed fragile ego session jaredkushner issue crookedcharleskushner tcot"
1,"thank debate dough random student cash"
0,"edgray discussing geopolitics folks washingtona serious conversation conversation elect"
0,"vausecnn find donaldtrumpdriven trigger point drjudyho"
-1,"let imagine day rejects elect result "
-1," worst state historic quote"
-2,"al smith dinner donaldtrumpdriven joke miss mark"
0,"ctcantabria qrznow hamradio opináis"
-2,"boo call corrupt bipartisan dinner turn sour elect"
0,"brentmccluskey biggest takeaway far think volume voice big hes winn"
0,"us elect trade jibes al smith dinner elect"
1,"event nuclearwar usa russia win plz vote poll"
1,"man proud call neighbor let alone potus nrsc reeled man last year"
-1,"thewrap let imagine day rejects elect result "
0,"find donaldtrumpdriven trigger point drjudyho"
0,"ctcantabria qrznow hamradio opináis"
-7,"morintoon spoiled brat vile rude dishonest contempt fool morintoon elect debate"
-1,"earthnews mean use chance attack vicious thought speech heartfelt en"
-1,"serpentine just vile boo room priests p news polit catholic"
-1,"zestytrump johnmccain tell move lose debate american way"
1,"golf tour pros love loathe poll reveal"
1,"al smith dinner hillaryclintonforpresident top joke went trumpaboard debate entertaining"
-1,"peterdaou new video star little rascals women"
-1,"prettymouth agmcthugabobs tsandms stevehutt jczphx pgpfoundation still debate theyre crook sh"
0,"latest jillian socialmedia joanne"
0,"agmcthugabobs tsandms stevehutt jczphx pgpfoundation still debate theyre crook just intelligence"
1,"right question system now wikileaks reveal evidence voter fraud boom"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"a law let make clear world want presiden retweet"
0,"latest faminefighters forum elect"
-1,"serpentine just vile boo room priests p news polit catholic"
0,"vladimirputin basharalassad everyone name final"
-1,"jameshaning fact given us detailed plan sexual assault women fight isis"
1,"a law let make clear world want presiden retweet"
-1,"peterdaou new video star little rascals women"
0,"duterte renounces us declare philippines embrace china"
0,"jamiiforums marekani mgombea urais amesema atayakubali matokeo ya uchaguzi endapo yeye atatangazwa mshindi jfleo"
-1,"movietvtechgeek true false claim rd debate movietvtechgeek"
0,"full roast us presidential candidacy vs usa"
1,"theshaderoom pressplay better read melania serious via cnn"
0,"visiting russia"
0,"a law evidence since beginning rallies debate poll total landslide debate"
-1,"mean use chance attack vicious thought speech heartfelt t"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
0," one tubersimulator hilaryclinton pokemongo"
-2,"rape scandal man call american presiden"
1,"event nuclearwar usa russia win plz vote poll"
2,"show incredible sense humor alsmith dinner"
1,"need stuff like life lessdonaldtrumpmoretechnomusic techno music mrfinnremix"
2,"show incredible sense humor alsmith dinner"
1,"won final presidential"
1,"won final presidential"
1,"won final presidential"
1,"won final presidential applauding"
0,"mhonividente si amiguis ya se muy cansado y sabe contestar por eso se enoja y se exalta"
1,"won final presidential"
0,"amjoyshow iamwill created parodies people deserve laugh amjoy"
1,"won final presidential"
0,"mhonividente lo mortifica de lo dijo mo aceptará los resultado de las elecciones si pierde se"
0,"biancabonjour halloween donaldtrumpelection makeup drumpf orange trumptoupee costume"
-1,"peterdaou new video star little rascals women"
0,"catalystwashere case miss alsmithdinner hilarious"
0,"final vote vs"
1,"won final presidential"
1,"won final presidential"
0,"markparshall roast alsmithdinner say need said ab"
0,"roast alfredesmith memorial waldorfastoria funnier"
1,"won final presidential"
0,"silviavazquez anoche estuve viendo el último debate y claramente ganó además demostró de nuevo cómo es"
1,"won final presidential sex"
1,"won final presidential"
1,"won final presidential"
-1,"quand parlera dun vote de la primaire de droite sachez utilisera la même excuse pour expliqué sa défaite"
-2,"cheap bastard donaldtrumpdriven kid scamking"
0,"grandma opinion debate debate grandma vote ernster"
0,"dailypollsx vote presiden retweet poll dailypoll elect"
0,"markparshall roast alsmithdinner say need said ab"
0,"maga votetrump trumppence draintheswamp"
0,"mhonividente prediccioncumplida aceptaría su derrota"
1,"win accept result presidential elect presidentialelection"
1,"eabucchianeri interest get s case wikileaks better bing ths woman"
0,"jamesjgutierrez pair boobs mariabartiromo alsmithdinner"
-1,"train wreck"
1,"mrblackcat thehuffingtonpost even donaldtrumpdriven alma mater school newspaper endorsed imwithher fightingforus"
1,"everything life luck trumpquotes quotesforlife"
-1,"joke"
0,"dailypollsx vote presiden retweet poll dailypoll elect"
0,"roast alsmithdinner say need said "
-1,"break news new slogan final day campaign credits hope bipartison sloga"
-1,"vote ccc criminal extensive proportion yes presidential"
-1,"thefix jenniferadevon evil eye satan"
0,"dumptrump electionday elect uselection debate"
1," alsmithdinner nyc say humor horse one putin ride around"
0,"elcomercio y en debate así fue el tercer round entre candidatos"
1,"interest get s case wikileaks better bing ths woman"
0,"new york except"
0,"singing mahnamahna la cosa bella è che probabilmente con una performance così sarebbe stato più"
0,"alien invasion way stop bronze adonis cards"
0,"anjaeuronews euronewsde cher wieder auf tournee und verärgert über classiccher"
0,"case miss alsmithdinner hilarious"
0,"stillkhaleesi parents come sunday lunch need act civil"
-1,"johnmccain tell move lose debate american way"
0,"threatintel spammers exploiting interest distribute malware elect"
-2,"silence leadership undermines electoral process unacceptable"
0,"movement million watch facebook live event"
1,"amazing switching skills"
0,"ctcantabria qrznow hamradio opináis"
0," just dream came saudi arabia wtf"
1,"latest record thank rotoworldbb elect"
-1,"peterdaou new video star little rascals women"
1,"event nuclearwar usa russia win plz vote poll"
0,"qrznow hamradio opináis"
0,"good morning everyone fuck"
0,"just dream came saudi arabia wtf"
-1,"thewrap let imagine day rejects elect result "
0,"limprobable le candidat qui pose profondément question via lamatinalem"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
0,"trade jabbing zingers stinkers catholic dinn elect"
-1,"donaldtrumpdriven elect bid negative effect hotel brand"
-1,"thewrap let imagine day rejects elect result "
0,"pair boobs mariabartiromo alsmithdinner"
0,"hilaryclinton deathrowrecords uspresidentialelection presidentialdebatee"
1,"ever wonder happen augustus gloop veruka salt got married kid now hes run presiden"
-2,"cwspn obsessed supernatural found help dick roman season kill human"
0,"guccifer wikileaks published dnchack doc id given berniesanders guccifer"
-1,"let imagine day rejects elect result "
-1,"please let farce soon last night dinner speech dt time lowand say lot must say"
-1,"bad tonight got repeat boo crowd included catholic priests"
0,"acapasancosas eminem dispara rimas contra"
1,"anyone notice situation just like biff back future"
-1,"serpentine just vile boo room priests p news polit catholic"
-2,"one surprise dnc cheated surprise voter cnn donnabrazile cheated maga"
-1,"zestyleftwing hombre special mexican restaurantes hilarious mock donaldtrumpdriven racism"
-1,"serpentine just vile boo room priests p news polit catholic"
0,"pollspolitics funnier alsmithdinner debate debate makeamericagreatagain"
-1,"elinformantemx burrito bad hombre así se burlan de los restaurantes mexicano en eeuu"
1,"event nuclearwar usa russia win plz vote poll"
-1,"israeltheregion jewishtimes spending furiously elect day near"
0,"lucabambu cè già stato uno come il suo nome è silvioberlusconi"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
1,"event nuclearwar usa russia win plz vote poll"
-1,"accusations dnc chair donnabrazile give question"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
-1,"cyrusmmcqueen apparently bad hombre doc holliday mean can get"
1,"word vote fav "
0,"gotnostrings uh yes yall msm hollywood maga"
0,"pertasperlite people historic via newsweekeurope"
0,"dfifttt chelasfortheband cucapá thewall hombresmalos dontgiveafuck m"
0,"stillkhaleesi parents come sunday lunch need act civil"
1,"now say accept elect result win uspresidentialelection ve"
0,"lucabambu cè già stato uno come il suo nome è silvioberlusconi"
0,"chelasfortheband cucapá thewall hombresmalos dontgiveafuck mexico citizenjournalist mexico"
1,"thehuffingtonpost even donaldtrumpdriven alma mater school newspaper endorsed imwithher fightingforus strongertogether"
-1,"movietvtechgeek true false claim rd debate movietvtechgeek"
1,"theshaderoom tsrpolitics think won last presidential debate"
0,"nickanderson whiner manishmalhotra cartoon debate"
-1,"serpentine just vile boo room priests p news polit catholic"
-1,"rig elect video ii mass voter fraud elect hilaryclinton"
0,"doubt go laugh quit bit tonight sometimes even appropriate moment"
1,"dailydoseofnew latest world popular news polit musclecars sport tvshow bikers healthyfood"
1,"immaturity year old time someone call video say well bill affairs"
1,"andreajmarkley time act like dick isnt enough badhombre"
-1,"hombre special mexican restaurantes hilarious mock donaldtrumpdriven racism"
-1,"candidacy grit bear press lie proved commit truth voter reaffirming cant bought maga"
0,"second just kid"
0,"lucabambu cè già stato uno come il suo nome è silvioberlusconi"
0,"silviavazquez anoche estuve viendo el último debate y claramente ganó además demostró de nuevo cómo es"
0,"pertasperlite people historic via newsweekeurope"
-1,"peterdaou new video star little rascals women"
-1,"ianbrottman joke found funnier alsmithdinner hillaryc"
0,"banwahhabism donaldtrumpdriven campaign manage say plan defeat islam just show stupid people"
0,"northcarolina womenwhovotetrump draintheswamp trumppence ladiestrump"
0,"rafu donaldtrumpdriven campaign manage say plan defeat islam just show stupid people"
-2,"st candidacy reveal press media dubious dissemination false information voter affect elect outcome maga"
-1,"latest libertarian diva racism"
-2,"banwahhabism islam problem vile ideology wahhabism salafism know jack s"
0,"lucabambu cè già stato uno come il suo nome è silvioberlusconi"
1,"banwahhabism donaldtrumpdriven campaign manage say fivepoint plan defeat islam isis hillar"
0,"lucabambu cè già stato uno come il suo nome è silvioberlusconi"
0,"qrznow hamradio"
1,"support northcarolina danscavino wikileaks ncaltrump patmccrorync"
-1,"joke found funnier alsmithdinner hearse"
0,"scorazzata madonna promette sesso orale chi voterà per la si è già messo fila abrams hashtagradio"
0,"maga"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"year ago waikiki trumppence faith maga"
0,"pertasperlite people historic via newsweekeurope"
-1,"donaldtrumpdriven refusal say whether concede defeat defeat little frightening video"
1,"elitists boo elite alsmithdinner alsmith"
1,"a law let make clear world want presiden retweet"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
0,"whatsapp forward hilaryclinton"
0,"senjohnmccain back someone doesnt vote partial nominee"
0,"lucabambu cè già stato uno come il suo nome è silvioberlusconi"
0,"sea trumpquotes donaldtrumpquotes trumpwon donaldtrumpsayings trumpcomments potus"
0,"cè già stato uno come il suo nome è silvioberlusconi"
1,"a law let make clear world want presiden retweet"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
-1,"estatua de la campaña est año y cruzaron afiladas pullas y brutal críticas el"
-1,"serpentine just vile boo room priests p news polit catholic"
-1,"serpentine just vile boo room priests p news polit catholic"
-1,"guardiannigeria take break elect campaign trail get laugh donaldtrumpdriven expense"
1,"russianqueenm believe putin able stabilize situation littlegianna makeamericagreatagain"
0,"funnier speech alsmith dinner roast media via youtube"
-1,"washtimes inside beltway ivanka say father never lie american people"
1,"laweekly dig stand man like beaten spouses"
-1,"accusations dnc chair donnabrazile give question"
1,"jkrowling wonder u r followfor nowi hope can develop friendship ijustgoin"
0,"common sense abortion procedures say debate"
-1,"annyonan hey give shit whether accept elect result one care think stompi"
2,"trumpapproved please make support proud alsmithdinner"
0,"doesnt cross line hes still de bos comp owner wont take de rightselfishpowerfired mood"
-1,"presidential debate two sentence show just bad donaldtrumpdriven night went"
0,"watch live speak alsmithdinner"
-1,"woman smeared cards peanut butter protest"
1,"big surprise soreloser accept result win"
1,"big surprise soreloser accept result win"
0,"ciccmaher damn whys gotta right clintonfoundation haiti saudiarabia tho"
2,"someone obama brother malikobama attend debate lasvegas cheer said honest bara"
-1,"serpentine just vile boo room priests p news polit catholic"
1,"a law let make clear world want presiden retweet"
1,"emekagift hebron purim brussels belgium holi work home biafra un"
0,"elect"
0,"call recount elect close say rudygiuliani"
-1,"wrong presidentialdebatee elect"
1,"haddzolfc jbhtd agree thought won last debate also"
-1,"firestarter instrumental youre puppet youre puppet vocal sample need done "
2,"trumpapproved please make support proud alsmithdinner"
0,"a law evidence since beginning rallies debate poll total landslide debate"
-7,"morintoon spoiled brat vile rude dishonest contempt fool morintoon elect debate"
0,"eminem canta en contra de vía elpaismadrid"
0,"elect bbc cnn sky picoftheday friend lovequotes power"
1,"wonder storiche instead news asshat"
1,"weird al awesome amazing polit debate"
1,"a law let make clear world want presiden retweet"
1,"campaign budget way much comparable billionaire wonder media unfair"
-2,"abcelex moment seem loose crowd alsmithdinner start boo joke "
3,"like promise pledge voter support voter"
1,"rafshmatko support creativity trumpvote maga world creativity art artist"
-1,"y liman asperezas con sarcasmo en una gala benéfica leer"
0,"raised startup way"
1,"final exposed behave like pakistani polit partial show now r followfor us"
1,"a law let make clear world want presiden retweet"
-1,"serpentine just vile boo room priests p news polit catholic"
-2,"boo call corrupt bipartisan dinner turn sour"
-1,"perezhilton late night hosts chime donaldtrumpdriven ridiculous final debate behavior"
0,"doubt go laugh quit bit tonight sometimes even appropriate moment"
0,"presidentialelection"
-1,"khrestinin man ball walked interview question racism"
1,"theshaderoom pressplay better read melania serious via cnn"
-2,"silence leadership undermines electoral process unacceptable"
1,"zanetticartoons good sport today cartoon gt debate debate realdona"
1,"notifyrinc boo good humour speech new york event turn caustic elect"
0,"alecbaldwins brother isnt laugh saturdaynightlive parodies"
0,"sono daccordo con marylstreep si sta rovinando da solo"
-1,"movietvtechgeek true false claim rd debate movietvtechgeek"
0,"eminem arremete contra en su nuevo tema"
0,"gotnostrings yes maga"
1,"a law let make clear world want presiden retweet"
-2,"boo call corrupt bipartisan dinner turn sour"
-1,"thewrap new accusations say touched breast askd dont know"
0,"conflictedcoco post somewhat hard share important write sexual"
0,""
-1,"catholic denounce christian"
-1,"man ball walked interview question racism"
-4,"dont hate women see bad person dont hate men see bad person"
0,"a law evidence since beginning rallies debate poll total landslide debate"
-1,"serpentine just vile boo room priests p news polit catholic"
-1,"taco protest lasvegas streetmarch appsforacause"
0," one tubersimulator hilaryclinton pokemongo"
-1,"peterdaou new video star little rascals women"
